Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,2022 rating,rating,h_index,impact_factor
Advances in Experimental Social Psychology,Elsevier ,0065-2601	,1557-8410	,1964	,3507,A* ,A*,165,27.818181818181817
Advances in Hospitality and Leisure,Emerald Group Publishing,1745-3542	,	,2005	,3504,C ,C,17,0.46153846153846156
Advances in International Management,Emerald Group Publishing,1571-5027	,NA,1988	,3507,C ,C,26,0
Advances in International Marketing,Emerald Group Publishing,1474-7979	,	,1986	,3506,C,C,23,0
Advances in Management Accounting,Emerald Group Publishing,1474-7871	,	,1990	,3501,A,A,19,0.1
Advances in Public Interest Accounting,Emerald Group Publishing,1041-7060	,	,1986	,3501,C ,C,13,0
Advances in Strategic Management,Emerald Group Publishing,0742-3322	,NA,1983	,3507,C ,C,43,0
Advances in Taxation,Emerald Group Publishing,1058-7497	,	,1987	,4801,B ,B,11,0.4444444444444444
Advertising & Society Review,Johns Hopkins University Press,2475-1790,1534-7311	,2000	,3506,C,C,18,0
Afaq Iqtisadiyyah,Federation of UAE Chambers of Commerce and Industry: Centre for Research and Authentication ,1024-266X	,	,1980	,3801,C ,C,NA,NA
Africa Development/Afrique et Developpement,Council for the Development of Economic and Social Research in Africa,0850-3907	,	,1976	,3899,C ,C,NA,NA
African Development Review,Wiley-Blackwell Publishing,1017-6772	,1467-8268	,1989	,3899,C ,C,65,3.1481481481481484
African Economic History,University of Wisconsin Press,0145-2258	,2163-9108	,1974	,3801,C ,C,57,0.18181818181818182
"African Journal of Accounting, Auditing and Finance",Inderscience Enterprises Ltd. ,2046-8083	,2046-8091	,2012	,3501,C ,C,8,0.1282051282051282
"African Journal of Accounting, Economics, Finance and Banking Research",Global Business Investments and Publications,1933-3404	,1933-3463	,2007	,3502,C ,C,NA,NA
African Journal of Agricultural and Resource Economics,African Association of Agricultural Economists,1993-3738	,2521-9871	,2006	,3801,B ,B,22,0.3125
African Journal of Business and Economic Research,Adonis and Abbey Publishers Ltd,1750-4554	,1750-4562	,2006	,3801,C ,C,10,0.5037037037037037
African Journal of Economic and Management Studies,Emerald Group Publishing,2040-0705	,2040-0713	,2010	,3507,C ,C,35,1.8974358974358974
African Journal of Economic and Sustainable Development,Inderscience Enterprises Ltd.,2046-4770	,2046-4789	,2012	,3801,C,C,11,0.17543859649122806
African Review of Economics and Finance,Wits University Press,2042-1478,2410-4906,2009,3801,C,C,16,1.2727272727272727
Afrika Spectrum,Deutsches Institut für Afrika-Forschung,0002-0397	,1868-6869	,1966	,3801,C ,C,NA,NA
Afro-Asian Journal of Finance and Accounting,Inderscience Enterprises Ltd.,1751-6447	,1751-6455	,2008	,3502,C ,C,15,0.16091954022988506
AgBioForum,Illinois Missouri Biotechnology Alliance ,1522-936X	,	,1998	,3801,C ,C,21,0
Agenda: a journal of policy analysis and reform,Australian National University ,1322-1833	,1447-4735	,1994	,3801,B ,B,NA,NA
Agribusiness: An international journal,Wiley-Blackwell Publishing,0742-4477	,1520-6297	,1984	,3801,C ,C,NA,NA
Agricultural and Resource Economics Review,Cambridge University Press,1068-2805	,2372-2614	,1972	,3801,B ,B,54,0.9310344827586207
Agricultural Economics,Wiley-Blackwell Publishing,0169-5150	,1574-0862	,1928	,3801,A ,A,213,3.1831683168316833
Agricultural Economics and Rural Development,Institute of Agricultural Economics,	,	,2004	,3899,C ,C,7,0
Agricultural Economics Research Review,Agricultural Economics Research Association,0971-3441	,0974-0279	,1988	,3899,C ,C,26,0.3013698630136986
Agricultural Economics Review,Greek Association of Agricultural Economists,1109-2580	,	,2000	,3899,C ,C,96,2.9555555555555557
Agricultural Finance Review,Emerald Group Publishing,0002-1466	,2041-6326	,1931	,3502,C ,C,41,1.686046511627907
Agriculture and Human Values,Springer International Publishing,0889-048X	,1572-8366	,1984	,3801,B ,B,106,3.0135135135135136
Air and Space Law,Kluwer Law International ,0927-3379	,1875-8339	,1974	,4801,B ,B,NA,NA
AIS Educator Journal,Allen Press Inc.,1935-8156	,	,2006	,3501,C ,C,7,0
AIS Transactions on Human-Computer Interaction,Association for Information Systems,1944-3900,NA,2009,4609,A,A,26,2.2
Akron Tax Journal,University of Akron,1044-4130	,	,1983	,4801,B ,B,3,0
Alberta Law Review,University of Alberta,0002-4821	,	,1955	,4801,B ,B,22,0.011764705882352941
Algorithmic Finance,IOS Press,2158-5571	,2157-6203	,2011	,3502,B,B,13,0.2857142857142857
ALI - ABA Business Law Course Materials Journal,American Law Institute,1536-4445	,	,1976	,4801,C ,C,NA,NA
Aligarh Journal of Statistics,Aligarh Muslim University,0971-0388	,	,1981	,4905,C ,C,NA,NA
Alternative Law Journal,Sage Publications,1037-969X,2398-9084,1975,4801,B,B,18,0.35294117647058826
"Alternatives: global, local, political",Sage Publications ,0304-3754	,2163-3150	,1974	,3507,A ,A,NA,NA
American Bankruptcy Institute Law Review,St. John's University School of Law,1068-0861	,	,1993	,4801,B ,B,4,0
American Bankruptcy Law Journal,The National Conference of Bankruptcy Judges,0027-9048	,	,1971	,4801,B ,B,5,0
American Behavioral Scientist,Sage Publications,0002-7642	,1552-3381	,1957	,3507,B ,B,172,2.026954177897574
American Business Law Journal,Wiley-Blackwell Publishing,0002-7766	,1744-1714	,1963	,4801,A,A,37,0.6875
American Business Review,University of New Haven,0743-2348	,0743-2348	,1983	,3507,A ,A,21,0.9696969696969697
American Economic Journal: Applied Economics,American Economic Association ,1945-7782	,1945-7790	,2009	,3801,A* ,A*,137,6.586538461538462
American Economic Journal: Economic Policy,American Economic Association ,1945-7731	,1945-774X	,2009	,3801,A* ,A*,113,7.171875
American Economic Journal: Macroeconomics,American Economic Association ,1945-7707	,1945-7715	,2009	,3801,A* ,A*,106,7.820754716981132
American Economic Journal: Microeconomics,American Economic Association ,1945-7669	,1945-7685	,2009	,3801,A* ,A*,68,2.6824324324324325
American Economic Review: Insights,American Economic Association,2640-205X,2640-2068,2019,3801,A*,A*,37,9.416666666666666
American Economist,Sage Publications ,0569-4345	,2328-1235	,1960	,3801,C ,C,34,0.5161290322580645
American Journal of Agricultural Economics,Oxford University Press ,0002-9092	,1467-8276	,1919	,3801,A* ,A*,213,3.1831683168316833
American Journal of Comparative Law,Oxford University Press,0002-919X	,2326-9197	,1951	,4801,A,A,77,0.4024390243902439
American Journal of Economics and Sociology,Wiley-Blackwell Publishing,0002-9246	,1536-7150	,1941	,3801,B ,B,68,0.9111111111111111
American Journal of Evaluation,Sage Publications,1098-2140	,1557-0878	,1981	,3503,C ,C,77,1.3240740740740742
American Journal of Finance and Accounting,Inderscience Publishers,1752-7767	,1752-7775	,2008	,3502,C ,C,9,0.045454545454545456
American Journal of Health Economics,MIT Press,2332-3493	,2332-3507	,2015	,3801,A ,A,25,3.1555555555555554
American Journal of Political Science,Wiley-Blackwell Publishing,0092-5853	,1540-5907	,1950	,3599,A* ,A*,298,6.064327485380117
American Journal of Psychology,University of Illinois Press,0002-9556	,1939-8298	,1887	,3507,B ,B,291,0.580952380952381
American Journal of Public Health,The American Public Health Association,0090-0036	,1541-0048	,1911	,3599,A* ,A*,387,2.280751708428246
American Journal of Recreation Therapy,Weston Medical Publishing,1539-4131	,	,2002	,3504,C ,C,8,0.05555555555555555
American Journal of Sociology,The University of Chicago Press,0002-9602	,1537-5390	,1895	,3507,A* ,A*,358,0.990506329113924
American Law and Economics Review,Oxford University Press ,1465-7252	,1465-7260	,1999	,3801,B ,B,58,1.0333333333333334
American Political Science Review,Cambridge University Press,0003-0554	,1537-5943	,1906	,3599,A* ,A*,363,6.732876712328767
American Psychologist,American Psychological Association ,0003-066X	,1935-990X	,1946	,3507,A* ,A*,434,5.868055555555555
American Review of Political Economy,American Review of Political Economy,1551-1383	,	,2002	,3899,C ,C,8,0.15789473684210525
American Review of Public Administration,Sage Publications,0275-0740	,1552-3357	,1967	,3599,B ,B,92,2.358974358974359
American Sociological Review,Sage Publications,0003-1224	,1939-8271	,1936	,3507,A* ,A*,459,7.117647058823529
AMS Review,Springer International Publishing,1869-814X	,1869-8182	,1997	,3506,B,B,29,2.557377049180328
Analisis: cuadernos de investigacion,Centre for Latin American Monetary Studies (CEMLA),0252-8851	,	,1977	,3801,C ,C,NA,NA
Anatolia,Taylor & Francis Online,1303-2917	,2156-6909	,1990	,3508,B,B,48,1.5209580838323353
Annals Economy Series,Universitatea Constantin Brancusi din Targu-Jiu,1844-7007	,	,2009	,3899,C ,C,7,0
Annals of Actuarial Science,Cambridge University Press,1748-4995	,1748-5002	,2006	,3502,A ,A,25,1.0212765957446808
Annals of Applied Probability,Institute of Mathematical Statistics,1050-5164	,2168-8737	,1991	,4905,A,A,131,1.5576036866359446
Annals of Applied Statistics,Institute of Mathematical Statistics,1932-6157	,1941-7330	,2007	,4905,A,A,101,1.4410480349344978
Annals of Economics and Finance,Peking University Press,1529-7373	,	,2000	,3502,C ,C,27,0
Annals of Finance,Springer International Publishing,1614-2446	,1614-2454	,2005	,3502,B ,B,39,0.7631578947368421
Annals of Leisure Research,Routledge,1174-5398	,2159-6816	,1998	,3504,B,B,46,1.6818181818181819
Annals of Operations Research,Springer International Publishing,0254-5330	,1572-9338	,1984	,3507,A ,A,159,4.7087691069991955
Annals of Probability,Institute of Mathematical Statistics,0091-1798	,2168-894X	,1973	,4905,A* ,A*,180,2.143884892086331
Annals of Public and Cooperative Economics,Wiley-Blackwell Publishing,1370-4788	,1467-8292	,1925	,3801,B ,B,0,0
Annals of Statistics,Institute of Mathematical Statistics,0090-5364	,	,1973	,4905,A* ,A*,307,3.2054794520547945
Annals of the American Academy of Political and Social Science,Sage Publications,0002-7162	,1552-3349	,1891	,3599,B ,B,154,2.7134502923976607
Annals of the Institute of Statistical Mathematics,Springer International Publishing,0020-3157	,1572-9052	,1949	,4905,A ,A,87,0.7840909090909091
Annals of Tourism Research,Elsevier ,0160-7383	,1873-7722	,1973	,3508,A*,A*,267,8.081005586592179
Annual Editions: Economics,Dushkin Publ. Group,1092-776X	,	,1971	,3801,C ,C,NA,NA
Annual Review of Banking and Financial Law,Boston University School of Law,1544-4627	,	,1982	,4801,C ,C,NA,NA
Annual Review of Economics,Annual Reviews ,1941-1383	,1941-1391	,2009	,3801,B ,B,107,11.482758620689655
Annual Review of Financial Economics,Annual Reviews ,1941-1367	,1941-1375	,2009	,3801,B ,B,67,9.76086956521739
Annual Review of Organizational Psychology and Organizational Behavior,Annual Reviews,2327-0616	,	,2014	,3507,A* ,A*,81,12.857142857142858
Annual Review of Psychology,Annual Reviews ,0066-4308	,1545-2085	,1950	,3507,A* ,A*,356,25.476190476190474
Annual Review of Resource Economics,Annual Reviews ,1941-1340	,1941-1359	,2009	,3801,B ,B,68,5.603448275862069
Annual Review of Sociology,Annual Reviews ,0360-0572	,1545-2115	,1975	,3507,A* ,A*,280,10.535714285714286
Anti Trust Law Journal,American Bar Association ,0003-6056	,	,1952	,4801,A ,A,NA,NA
Antitrust Bulletin,Sage Publications,0003-603X	,1930-7969	,1955	,4801,B ,B,38,0.8985507246376812
Appetite,Elsevier,0195-6663	,1095-8304	,1980	,3506,A,A,211,3.9615384615384617
Applied Cognitive Psychology,Wiley-Blackwell Publishing,0888-4080	,1099-0720	,1987	,3507,B ,B,140,1.9812734082397003
Applied Econometrics,"Moscow University for Industry and Finance Synergy"" """,1993-7601	,2410-6445	,2006	,3802,C ,C,171,2.4907975460122698
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,1578-4487	,	,2001	,3802,C ,C,17,0
Applied Economic Analysis,Emerald Publishing Group,2632-7627,NA,NA,3801,B,B,11,2.6774193548387095
Applied Economic Perspectives and Policy,Oxford University Press ,2040-5804	,2040-5970	,1979	,3801,B ,B,64,3.3838862559241707
Applied Economics,Taylor & Francis Online,0003-6846	,1466-4283	,1969	,3801,A,A,141,2.121836925960637
Applied Economics Letters,Taylor & Francis Online,1350-4851	,1466-4291	,1994	,3801,B ,B,83,1.3151581243184296
Applied Economics Quarterly,Duncker & Humblot Gmbh,1611-6607	,1865-5122	,1952	,3801,B ,B,21,0.19444444444444445
Applied Energy,Elsevier,0306-2619,NA,1975,3599,A,A,307,11.645939086294415
Applied Finance Letters,Auckland University of Technology,2253-5799	,2253-5802	,2012	,3502,B,B,7,0.4666666666666667
Applied Financial Economics,Taylor & Francis Online,0960-3107	,1466-4305	,1991	,3502,B ,B,92,0
Applied Health Economics and Health Policy,Springer International Publishing,1175-5652	,1179-1896	,2002	,3801,C ,C,61,3.069620253164557
Applied Mathematical Finance,Taylor & Francis Online,1350-486X	,1466-4313	,1994	,3502,B ,B,57,1.6388888888888888
Applied Ontology,IOS Press,1570-5838	,NA,2005	,4609,A ,A,34,2.7058823529411766
Applied Psychological Measurement,Sage Publications,0146-6216	,1552-3497	,1977	,3507,B ,B,120,1.1904761904761905
Applied Psychology: An International Review,Wiley-Blackwell Publishing,0269-994X	,1464-0597	,1952	,3507,A ,A,NA,NA
Applied Soft Computing,Elsevier ,1568-4946	,1872-9681	,2001	,4609,C ,C,196,8.196901549225387
Applied Stochastic Models in Business and Industry,Wiley-Blackwell Publishing,1524-1904	,1526-4025	,1985	,4905,B ,B,48,1.0064102564102564
Appraisal Journal,Appraisal Institute,0003-7087	,	,1932	,3504,B ,B,23,0
Aquaculture Economics and Management,Taylor & Francis Online,1365-7305	,1551-8663	,1997	,3801,C ,C,NA,NA
Arizona Law Review,HeinOnline,0004-153X	,	,1959	,4801,B ,B,16,0
Arkansas Business and Economic Review,"University of Arkansas, Bureau of Business and Eco",0004-1742	,	,1933	,3801,C ,C,NA,NA
Art Law and Accounting Reporter,Volunteer Lawyers and Accountants for the Arts,0886-1013	,	,1982	,3501,C ,C,NA,NA
Artha-Vikas: a journal of economic development,Sardar Patel University,0004-3567	,	,1965	,3801,C ,C,NA,NA
Arts and the Market (formerly Arts Marketing),Emerald Group Publishing,2044-2084	,2056-4945	,	,3506,C,C,NA,NA
ASEAN Journal on Hospitality and Tourism,Institut Teknologi Bandung,1412-2073	,	,2002	,3508,C,C,8,0.24528301886792453
Asia Europe Journal,Springer International Publishing,1610-2932	,1612-1031	,2003	,3599,B ,B,27,1.6451612903225807
Asia Pacific Business Review,Taylor & Francis Online,1360-2381	,1743-792X	,1994	,3507,B,B,50,2.1319444444444446
Asia Pacific Sustainable Development Journal,United Nations ESCAP,1020-1246	,	,1956	,3899,B ,B,4,0.11627906976744186
Asia Pacific Journal of Arts and Cultural Management,The University of Melbourne,1449-1184	,	,2003	,3504,C ,C,NA,NA
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1326-8481	,	,1997	,3801,B ,B,NA,NA
Asia Pacific Journal of Finance,Wiley-Blackwell Publishing,0219-1466	,	,1998	,3502,B ,B,4,0
Asia Pacific Journal of Health Management,Australian College of Health Service Executives,1833-3818	,1833-3818	,2006	,3599,C ,C,11,0.45614035087719296
Asia Pacific Journal of Information Systems,Korea Society of Management Information Systems,2288-5404,2288-6818,1990,4609,C,C,14,0.5714285714285714
Asia Pacific Journal of Management,Springer International Publishing,0217-4561	,1572-9958	,1983	,3507,A,A,108,4.049180327868853
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1355-5855	,1758-4248	,1988	,3506,A ,A,70,4.358267716535433
Asia Pacific Journal of Taxation,Hong Kong Polytechnic University,1027-5592	,	,1997	,4801,C ,C,NA,NA
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1094-1665	,1741-6507	,1996	,3508,A,A,69,4.048275862068966
Asia Pacific Law Review,Taylor & Francis Online,1019-2557	,1875-8444	,1992	,4801,C ,C,13,0.6470588235294118
Asia Pacific Public Relations Journal,University of Newcastle,1440-4389	,1839-8227	,1999	,3506,B,B,7,0
